alphaWalk,alphaBike,alphaCarDriver,alphaCarPassenger,alphaBus,alphaTrain,betaTimeWalk,betaTimeBike,betaTimeCarDriver,betaTimeCarPassenger,betaTimeBus,betaTimeTrain,betaCostCarDriver,betaCostCarPassenger,betaCostBus,betaCostTrain,betaTimeWalkTransport,betaChangesTransport,used_parameter_label,used_parameter_value
-10.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaWalk,-10.0
-8.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaWalk,-8.0
-6.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaWalk,-6.0
-4.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaWalk,-4.0
-2.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaWalk,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaWalk,0.0
2.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaWalk,2.0
4.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaWalk,4.0
6.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaWalk,6.0
8.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaWalk,8.0
10.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaWalk,10.0
0.0,-10.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBike,-10.0
0.0,-8.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBike,-8.0
0.0,-6.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBike,-6.0
0.0,-4.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBike,-4.0
0.0,-2.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBike,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBike,0.0
0.0,2.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBike,2.0
0.0,4.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBike,4.0
0.0,6.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBike,6.0
0.0,8.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBike,8.0
0.0,10.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBike,10.0
0.0,0.0,-10.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarDriver,-10.0
0.0,0.0,-8.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarDriver,-8.0
0.0,0.0,-6.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarDriver,-6.0
0.0,0.0,-4.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarDriver,-4.0
0.0,0.0,-2.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarDriver,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarDriver,0.0
0.0,0.0,2.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarDriver,2.0
0.0,0.0,4.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarDriver,4.0
0.0,0.0,6.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarDriver,6.0
0.0,0.0,8.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarDriver,8.0
0.0,0.0,10.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarDriver,10.0
0.0,0.0,0.0,-10.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarPassenger,-10.0
0.0,0.0,0.0,-8.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarPassenger,-8.0
0.0,0.0,0.0,-6.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarPassenger,-6.0
0.0,0.0,0.0,-4.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarPassenger,-4.0
0.0,0.0,0.0,-2.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarPassenger,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarPassenger,0.0
0.0,0.0,0.0,2.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarPassenger,2.0
0.0,0.0,0.0,4.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarPassenger,4.0
0.0,0.0,0.0,6.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarPassenger,6.0
0.0,0.0,0.0,8.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarPassenger,8.0
0.0,0.0,0.0,10.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaCarPassenger,10.0
0.0,0.0,0.0,0.0,-10.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBus,-10.0
0.0,0.0,0.0,0.0,-8.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBus,-8.0
0.0,0.0,0.0,0.0,-6.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBus,-6.0
0.0,0.0,0.0,0.0,-4.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBus,-4.0
0.0,0.0,0.0,0.0,-2.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBus,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBus,0.0
0.0,0.0,0.0,0.0,2.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBus,2.0
0.0,0.0,0.0,0.0,4.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBus,4.0
0.0,0.0,0.0,0.0,6.0,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.15,-0.15,-0.1,-0.1,-0.03,-0.3,alphaBus,6.0
